model,n_params,alpha,asr_pre,asr_post,bps_mean,lss_triggered,ods_mean,crsc_mean,crsc_lo,crsc_hi
CNN-tiny,5514,0.3,0.1590145576707727,0.0507652108995894,0.04952096553440338,0.9999950428803762,1.338542582137355e-05,0.016515077913826632,0.010872074887242579,0.022158080940410683
CNN-small,24458,0.3,0.08062709966405375,0.04068682344158268,0.030857285056613167,0.9999890327453613,3.248751697052891e-05,0.010305040630292006,0.00831609683658104,0.01229398442400297
CNN-small2,94986,0.3,0.1437103396789847,0.0507652108995894,0.03172825681224337,0.9999861319859823,4.809252034950381e-05,0.010603835888957731,0.005650045638241685,0.015557626139673777
CNN-medium,391946,0.3,0.04740574841358716,0.02090332213512505,0.04491725768321513,0.999974861741066,6.996739709090131e-05,0.01501444585298537,0.011853337781664378,0.01817555392430636
CNN-large,1575690,0.3,0.055617767823814855,0.026875699888017916,0.058603956700261285,0.9999494711558025,0.00019900724873878062,0.01964719743843842,0.010636799307951519,0.028657595568925318
CNN-vlarge,3538570,0.3,0.032848077640910786,0.03284807764091079,0.04429513500062212,0.9999727090199788,9.531358591630124e-05,0.014819978139458033,0.011996032433422083,0.017643923845493983
CNN-xlarge,6284810,0.3,0.04889884285181038,0.03844718178424786,0.0418066442702501,0.9999738375345867,0.00010394324635853991,0.013994255047239628,0.010950718428119306,0.01703779166635995
