model,n_params,asr_pre,asr_post,clean_acc_pre,clean_acc_post,bps_mean,bps_lo,bps_hi,lss_triggered,lss_baseline,ods_mean,ods_lo,ods_hi,crsc_mean,crsc_lo,crsc_hi
CNN-tiny,5514,0.16834639790966777,0.05412467338559163,0.298,0.3156666666666667,0.05449794699514745,0.03818219324623201,0.07081370074406289,0.9999445478121439,0.9283953805764517,0.00021608495929588875,0.00013241384499317147,0.00029975607359860603,0.01828838129406345,0.012889252251493122,0.02368751033663378
CNN-small,24458,0.11982082866741321,0.06270996640537514,0.3813333333333333,0.43933333333333335,0.048152295632698766,0.03505793118478474,0.061246660080612796,0.999839120441013,0.9079017440478007,0.0008099675954629978,0.0006682774651938498,0.0009516577257321458,0.016493903808313688,0.01210391616018524,0.020883891456442136
CNN-small2,94986,0.2374020156774916,0.10302351623740202,0.4036666666666667,0.4423333333333333,0.06967774045041682,0.028097012464522106,0.11125846843631153,0.9997751580344305,0.9100059204631381,0.002253322241206964,0.0009186509670406878,0.00358799351537324,0.02438447974630011,0.009886880357535611,0.038882079135064605
CNN-medium,391946,0.595371407241508,0.5852930197835012,0.44733333333333336,0.5120000000000001,0.619758616399154,0.5171919174146863,0.7223253153836217,0.9972134580214819,0.9012488722801208,0.21788294116655985,0.15223328905446426,0.28353259327865543,0.31229459903098994,0.24926592594318253,0.37532327211879735
CNN-large,1575690,0.7820082120194103,0.7547592385218365,0.4713333333333333,0.5576666666666666,0.7632201070051013,0.6861368490273664,0.8403033649828363,0.982457443078359,0.8639995257059733,0.4063872694969177,0.33497688456525954,0.4777976544285759,0.45568518743678404,0.39609002873229604,0.515280346141272
CNN-vlarge,3538570,0.8428518103770063,0.723404255319149,0.4996666666666667,0.5533333333333333,0.7291277839990046,0.6693074959614663,0.7889480720365428,0.9850346247355143,0.8818128983179728,0.3793618480364482,0.3029856218831072,0.4557380741897892,0.43046553870938215,0.3740089035719487,0.4869221738468156
CNN-xlarge,6284810,0.8335199701381112,0.7256438969764837,0.47000000000000003,0.5436666666666666,0.7206669155157398,0.6186452768987195,0.8226885541327601,0.9837576746940613,0.8814178069432576,0.36204997698465985,0.2790199532691755,0.4450800007001442,0.4197456490571368,0.34571793581107807,0.4937733623031955
