trigger_family,metric,p_raw,p_bonferroni,significant_raw,significant_bonf
rare_token,CRSC,0.04411859236304173,0.39706733126737553,True,False
rare_token,BPS,0.04995583591398601,0.4496025232258741,True,False
rare_token,ODS,0.030805648514333612,0.2772508366290025,True,False
syntactic,CRSC,0.10777125141952093,0.9699412627756884,False,False
syntactic,BPS,0.20051099837017763,1.0,False,False
syntactic,ODS,0.039394682402019286,0.35455214161817356,True,False
vpi_topic,CRSC,0.18914237555399235,1.0,False,False
vpi_topic,BPS,1.0,1.0,False,False
vpi_topic,ODS,0.043061265604955226,0.387551390444597,True,False
