trigger_family,tier,n_params,crsc_full,crsc_no_persist,crsc_no_lss,crsc_no_ods
rare_token,Tier-1,881,0.06769838428361943,0.041742490389187356,0.08381983780657845,0.07753282465509252
rare_token,Tier-2,1761,0.12609075637969033,0.0649774624209136,0.16393281120527764,0.1493619955128797
rare_token,Tier-3,5569,0.49400631820161933,0.2700724690287374,0.6613620703667373,0.5505844152093835
rare_token,Tier-4,15233,0.5231074746690577,0.30084719241067254,0.6931908840302209,0.5752843475662799
rare_token,Tier-5,46849,0.5311631586931459,0.3118226528663774,0.7012470315072405,0.5804197917058198
rare_token,Tier-6,192001,0.5259485630032464,0.30661382465816145,0.7046096624687876,0.5666222018827902
rare_token,Tier-7,744449,0.5336723463883462,0.31548593189661495,0.7171625684425924,0.5683685388258312
syntactic,Tier-1,913,0.46896849711417776,0.21702058486724657,0.6203882372331562,0.5694966692421304
syntactic,Tier-2,1825,0.5169439337798962,0.2754159006698445,0.6748295936210469,0.6005863070487976
syntactic,Tier-3,5697,0.5832023167565386,0.37480347513480783,0.736073202484089,0.6387302726507187
syntactic,Tier-4,15489,0.5837698621845405,0.37565479327681095,0.7395324056291821,0.6361223876476287
syntactic,Tier-5,47361,0.5832813684112126,0.37492205261681893,0.7414673781344734,0.6334546744823456
syntactic,Tier-6,193025,0.5748424091137387,0.3622636136706081,0.7454337753152259,0.6168298383553823
syntactic,Tier-7,746497,0.5612145989097085,0.34433446117863314,0.7434012977714728,0.5959080377790198
vpi_topic,Tier-1,929,0.5224276928593918,0.28364153928908775,0.6686242682472178,0.6150172710418701
vpi_topic,Tier-2,1857,0.5488921174758286,0.323338176213743,0.7014717592825906,0.6218664169311523
vpi_topic,Tier-3,5761,0.5969973325479099,0.3954959988218648,0.7434982567650181,0.6519977420568466
vpi_topic,Tier-4,15617,0.5952043415639984,0.3928065123459975,0.7452517660758178,0.6475547462701797
vpi_topic,Tier-5,47617,0.597747370951453,0.39662105642717965,0.7463532676593649,0.6502677887678147
vpi_topic,Tier-6,193537,0.5888953060524283,0.3833429590786426,0.7480109568362363,0.635332002242406
vpi_topic,Tier-7,747521,0.5780404004239611,0.36706060063594176,0.7484998476182778,0.618560753017664
