trigger_family,tier,n_params,asr_pre_mean,asr_pre_lo,asr_pre_hi,asr_post_mean,asr_post_lo,asr_post_hi,clean_acc_pre,clean_acc_post,bps_mean,bps_lo,bps_hi,lss_baseline_mean,lss_triggered_mean,delta_lss_mean,delta_lss_lo,delta_lss_hi,lss_min_mean,ods_mean,ods_lo,ods_hi,crsc_mean,crsc_lo,crsc_hi
rare_token,Tier-1,881,0.12282625247449368,0.04182547831957119,0.20382702662941615,0.11478605146946856,0.032765379387297955,0.19680672355163917,1.0,1.0,0.11961017207248363,0.037416274368764116,0.20180406977620313,0.6956637382507325,0.9645445227622986,-0.26888078451156616,-0.3076641978488382,-0.23009737117429413,0.9645445227622986,0.033291514962911606,0.02410352435705263,0.04247950556877058,0.06769838428361943,0.034540518900864806,0.10085624966637406
rare_token,Tier-2,1761,0.251535455053043,0.1980929918335225,0.3049779182725635,0.24248515303791685,0.17744942564216803,0.30752088043366566,1.0,1.0,0.24831734429724378,0.1904886471388595,0.30614604145562807,0.7100035786628723,0.9495933532714844,-0.23958977460861205,-0.2750189842457478,-0.2041605649714763,0.9495933532714844,0.0551386646926403,0.045047983662169055,0.06522934572311155,0.12609075637969033,0.10073794819487975,0.15144356456450092
rare_token,Tier-3,5569,0.9426780366478859,0.9087810369774668,0.9765750363183049,0.9396629612710014,0.9040386675869189,0.9752872549550838,1.0,1.0,0.9418740165473833,0.9072731101872994,0.9764749229074673,0.6914249181747436,0.8407051861286163,-0.14928026795387267,-0.1686027545942375,-0.12995778131350783,0.7475358605384826,0.26398518979549407,0.25147949218720617,0.27649088740378197,0.49400631820161933,0.46842052464709405,0.5195921117561446
rare_token,Tier-4,15233,0.9678290442109538,0.9411167705428127,0.9945413178790949,0.9668240190853256,0.940294314942909,0.9933537232277421,1.0,1.0,0.9676280391858283,0.9409638189079784,0.9942922594636782,0.6719428181648255,0.8170593440532684,-0.14511652588844298,-0.16610119066918388,-0.12413186110770208,0.7002554774284363,0.2902579665184021,0.27836171859591163,0.3021542144408925,0.5231074746690577,0.5033229618509647,0.5428919874871507
rare_token,Tier-5,46849,0.9718542205979392,0.9472159855771131,0.9964924556187654,0.9678341200954266,0.9400507359031053,0.9956175042877479,1.0,1.0,0.969844170346683,0.9435751472021554,0.9961131934912106,0.6587604582309723,0.8090045869350433,-0.15024412870407106,-0.17699678453126932,-0.1234914728768728,0.6766746640205383,0.2998900532722473,0.2890589387436558,0.31072116780083886,0.5311631586931459,0.5124101812070079,0.5499161361792839
rare_token,Tier-6,192001,0.9638140195929141,0.9289403578232927,0.9986876813625356,0.9638140195929141,0.9312416379927477,0.9963864011930805,1.0,1.0,0.9646180396934166,0.9317467053028645,0.9974893740839688,0.6885762890179952,0.8313736359278362,-0.14279734690984092,-0.16971357135586043,-0.1158811224638214,0.6623939633369446,0.3081741273403168,0.29670904009407373,0.31963921458655986,0.5259485630032464,0.5041598699717692,0.5477372560347237
rare_token,Tier-7,744449,0.9698441703466829,0.9509052305650585,0.9887831101283073,0.9698441703466829,0.9509052305650585,0.9887831101283073,1.0,1.0,0.9700451753718085,0.9513080464578343,0.9887823042857826,0.7055828288197518,0.8333080977201461,-0.12772526890039443,-0.1501495313656902,-0.10530100643509865,0.6485902667045593,0.32181434631347655,0.31432292087401226,0.32930577175294085,0.5336723463883462,0.5184106597942024,0.5489340329824899
syntactic,Tier-1,913,0.9728643216080402,0.9527757221173028,0.9929529210987775,0.9728643216080402,0.9527757221173028,0.9929529210987775,1.0,1.0,0.9728643216080404,0.952775722117303,0.9929529210987778,0.6999375820159912,0.8338709831237793,-0.1339334011077881,-0.15488490984879683,-0.11298189236677936,0.8338709831237793,0.1857025533914566,0.1739653852262001,0.19743972155671313,0.46896849711417776,0.45917304481265503,0.4787639494157005
syntactic,Tier-2,1825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6767344951629639,0.7988273859024048,-0.12209289073944092,-0.14401216398943106,-0.10017361748945078,0.7988273859024048,0.2423652797937393,0.23324382082274486,0.25148673876473376,0.5169439337798962,0.5084073404722413,0.5254805270875511
syntactic,Tier-3,5697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.655390951037407,0.7225394546985626,-0.0671485036611557,-0.09054995957036266,-0.043747047751948744,0.590276563167572,0.3272669494152069,0.3195221897496907,0.3350117090807231,0.5832023167565386,0.5733999699241429,0.5930046635889342
