metric,alpha,beta,r2,p_value
CRSC,8.55954483686552e-05,0.5686862164468889,0.8514694385355013,0.0030547259898806244
BPS,0.0006451556923707764,0.4703798857649458,0.8403349696101176,0.003676484797157945
ODS,6.119811987019539e-09,1.2073027756192236,0.9063895779099488,0.0009425197203507577
