row,col,pearson_r
BPS,BPS,1.0
BPS,1-LSS,0.7990994615375464
BPS,ODS,0.8863759290514945
1-LSS,BPS,0.7990994615375465
1-LSS,1-LSS,1.0
1-LSS,ODS,0.8455435819360154
ODS,BPS,0.8863759290514945
ODS,1-LSS,0.8455435819360153
ODS,ODS,1.0
