trigger_family,metric,alpha,beta,r2,p_value
rare_token,CRSC,25.17175287374382,-0.32928122163877505,0.6643725922486956,0.39337427227219707
syntactic,CRSC,0.1509829079463565,0.03817486336694801,0.057147269902352915,0.8463247825941397
