trigger_family,seed,alpha,beta,r2,p_value
rare_token,42,0.02934473699795935,0.2464840187890216,0.5857324421996736,0.04494582638086213
rare_token,123,0.02279049053032232,0.263949666041786,0.6093902857537462,0.03831170203894607
rare_token,2024,0.03550925813113175,0.23220160525737638,0.5986543778821923,0.041233596482872996
rare_token,7,0.03429970469734123,0.23615429190593987,0.5905749365478035,0.04352921488075879
rare_token,999,0.007257971344283058,0.37098582216202836,0.5290137868976147,0.06396737317423368
syntactic,42,0.41965130762939323,0.025817976785486037,0.43725867950563835,0.10578051043985603
syntactic,123,0.468573048161109,0.01809701526941873,0.45305003841169067,0.09747632965138074
syntactic,2024,0.4848583031371797,0.015625126537468375,0.348409999762473,0.1629565498499196
syntactic,7,0.4540099234450927,0.0211801943857484,0.38044569596564143,0.14011874921571688
syntactic,999,0.44881974367012345,0.021692994108116877,0.3846961333667031,0.1372887811824733
vpi_topic,42,0.4977708695441858,0.013481387670442015,0.38279822443534334,0.13854686879438943
vpi_topic,123,0.5001067207715232,0.013679569519843074,0.41067770256612784,0.12093543095387949
vpi_topic,2024,0.5205344802210594,0.010229485448221335,0.2160142467193784,0.2933592298025256
vpi_topic,7,0.4965432829055363,0.015155415784658304,0.35649580239382617,0.1569321258583536
vpi_topic,999,0.484917941578398,0.015558176594979503,0.42896091392876873,0.11034870872247633
