trigger_family,scheme,alpha,beta,r2,p_value
rare_token,equal,0.022423919024688856,0.26884573770055253,0.5885474148406965,0.04411859236304173
rare_token,pca,0.022422910007352626,0.2692532895792594,0.5889330149698441,0.04400608820339776
syntactic,equal,0.44974768806138327,0.021472692816540996,0.43361044350640504,0.10777125141952093
syntactic,pca,0.4504011408249649,0.021679033441099605,0.43900989714992855,0.1048346983870317
vpi_topic,equal,0.5088290629352428,0.011945109629627372,0.31585800259280267,0.18914237555399235
vpi_topic,pca,0.5094985374485101,0.012144560590605587,0.32421474020799973,0.18211157956314397
