model,n_params,alpha,asr_pre,asr_post,bps_mean,lss_triggered,ods_mean,crsc_mean,crsc_lo,crsc_hi
CNN-tiny,5514,0.3,0.0776409107876073,0.04553938036580813,0.05213388080129402,0.9999946256478628,1.3067227276527168e-05,0.017386035725807093,0.010091315754619551,0.024680755696994634
CNN-small,24458,0.3,0.0921985815602837,0.03471444568868981,0.03508771929824561,0.9999867545233833,3.5359419295370266e-05,0.011717325877909501,0.00931750544668947,0.014117146309129532
CNN-medium,391946,0.3,0.03546099290780142,0.02463605823068309,0.04305088963543611,0.9999704112609228,8.41816848454376e-05,0.01440064229125785,0.010916016201998214,0.017885268380517485
CNN-large,1575690,0.3,0.06159014557670772,0.02650242627846211,0.052009456264775406,0.9999389529228212,0.0002454195249204834,0.01747485629116482,0.005385861269884034,0.029563851312445603
