trigger_family,metric,alpha,beta,beta_lo,beta_hi,r2,p_value
rare_token,CRSC,0.02204219125350073,0.2709704623959045,0.010389209861023794,0.5977146342711556,0.5950172062725481,0.04225660977639245
rare_token,BPS,0.042411630531044395,0.2670861391193052,0.003240717226776764,0.6058818067356636,0.57548609618732,0.048046086737137464
rare_token,ODS,0.008013067817433214,0.3103984970422849,0.03355125292928762,0.641543145495045,0.6364984691327918,0.031558907565584764
syntactic,CRSC,0.44554500592430046,0.0216310374357832,-0.008684383317297893,0.06286879180897965,0.3998456870580885,0.12756028985862564
syntactic,BPS,0.9775750901615224,0.0018270275256679967,-0.0010716500479041528,0.006856786895037531,0.18983879869453651,0.3284867100440326
syntactic,ODS,0.14014648052431142,0.07507889721771273,0.007953580112334852,0.16776100054644388,0.6040835409589863,0.039737895174217136
vpi_topic,CRSC,0.5066079431188374,0.012786331024961758,-0.006904237041361952,0.03856778393228679,0.36339730838872125,0.1519320078266283
vpi_topic,BPS,1.0,0.0,0.0,0.0,nan,nan
vpi_topic,ODS,0.1969589818080348,0.047319318316583835,0.003944927973778775,0.10773969664113438,0.5866897437684435,0.04466333247002179
