tier,n_params,asr_pre,asr_post,bps_mean,lss_triggered_mean,ods_mean,crsc_mean
Tier-1,37393,0.4824120603015076,0.4807370184254606,0.4817420435510888,0.9078721404075623,0.09278244773546855,0.2359088934576755
Tier-2,74785,0.5142378559463987,0.5142378559463987,0.5142378559463987,0.888466497262319,0.11162457118431728,0.2622705246576838
Tier-3,151617,0.6063651591289783,0.5979899497487438,0.602680067001675,0.8914157748222351,0.1583661139011383,0.3132460997831563
Tier-4,307329,0.5041876046901173,0.4874371859296483,0.4927973199329984,0.8874513407548269,0.1298306087652842,0.26421731819981403
Tier-5,631041,0.4757118927973199,0.44891122278056955,0.4633165829145729,0.8954176704088846,0.12424716105063756,0.2490498918659918
Tier-6,1360385,0.5226130653266331,0.4807370184254606,0.5051926298157453,0.9160919189453125,0.13676965733369192,0.2621392057499443
Tier-7,3081217,0.7386934673366835,0.23283082077051928,0.32194304857621436,0.9311108241478602,0.07237070053815842,0.1650803584001385
