trigger_family,metric,alpha,beta,r2,p_value
rare_token,ASR_post_only,0.03996463792324831,0.2720862102682027,0.5757547613668065,0.04796298810706504
rare_token,CRSC_full,0.02204219125350073,0.2709704623959045,0.5950172062725481,0.04225660977639245
syntactic,ASR_post_only,0.9775750901615222,0.0018270275256680156,0.1898387986945373,0.3284867100440315
syntactic,CRSC_full,0.44554500592430046,0.0216310374357832,0.3998456870580885,0.12756028985862564
vpi_topic,ASR_post_only,1.0,0.0,nan,nan
vpi_topic,CRSC_full,0.5066079431188374,0.012786331024961758,0.36339730838872125,0.1519320078266283
