trigger_family,model,n_params,asr_pre,asr_post,clean_acc_pre,clean_acc_post,bps_mean,bps_lo,bps_hi,lss_triggered,lss_baseline,delta_lss_mean,delta_lss_lo,delta_lss_hi,lss_min_mean,ods_mean,ods_lo,ods_hi,crsc_mean,crsc_lo,crsc_hi
rare_token,bert-tiny,4386178,0.70042194092827,0.5527426160337553,0.6046666666666667,0.6333333333333333,0.5489920300046881,0.44010798770877035,0.6578760723006059,0.9912993974155849,0.7985440161493088,-0.19275538126627603,-0.20111383732874083,-0.18439692520381123,0.9890788594881693,2.6041169197317988e-05,1.0017715338829542e-05,4.2064623055806434e-05,0.18591006735158774,0.14973777832939347,0.22208235637378201
rare_token,bert-mini,11171074,0.2686357243319269,0.29395218002812945,0.7306666666666667,0.7313333333333333,0.27332395686826066,0.18814395960128166,0.35850395413523967,0.9937765121459962,0.7754563728968303,-0.21832013924916585,-0.2351878636963188,-0.2014524148020129,0.9908685882886251,0.00018259260590032986,0.0001701503682223,0.00019503484357835972,0.09327029005643332,0.06478920682402108,0.12175137328884557
rare_token,bert-small,28764674,0.3150492264416315,0.3459915611814346,0.7793333333333333,0.7719999999999999,0.2845757149554618,0.23125612828926045,0.33789530162166315,0.9905399680137634,0.744241193930308,-0.24629877408345538,-0.2493926763801223,-0.24320487178678846,0.9835044344266256,0.003996351966634393,0.001888953493576553,0.006103750439692232,0.09993375470186955,0.08171037367763816,0.11815713572610094
syntactic,bert-tiny,4386178,0.940928270042194,0.8565400843881856,0.6006666666666667,0.6366666666666667,0.8635724331926863,0.8187534048559135,0.908391461529459,0.9813063078456454,0.7987151543299357,-0.18259115351570976,-0.1890789811570442,-0.17610332587437533,0.9777136246363322,0.0011043840398391087,0.0004388605343779382,0.0017699075453002791,0.29461980490818457,0.2803950511275851,0.308844558688784
syntactic,bert-mini,11171074,0.7383966244725739,0.6962025316455697,0.7266666666666666,0.7333333333333334,0.659634317862166,0.48985769442070815,0.8294109413036238,0.9771717031796773,0.7757317105929058,-0.20143999258677162,-0.21314721400693382,-0.18973277116660942,0.9517439802487692,0.019915019782880943,0.01192494559923236,0.02790509396652953,0.23706463832081884,0.1793314421962976,0.2947978344453401
syntactic,bert-small,28764674,0.8284106891701829,0.8030942334739803,0.7766666666666667,0.7733333333333334,0.745897796530708,0.6511982454339754,0.8405973476274405,0.9726451873779297,0.7421055595080058,-0.2305396278699239,-0.23541399556676793,-0.2256652601730799,0.9396933714548746,0.12162408729394276,0.09032313006574556,0.15292504452213995,0.3162396922481319,0.26841523367144016,0.3640641508248237
