tier,n_params,bps_mean,lss_triggered_mean,ods_mean,crsc_mean,crsc_std
Tier-1,865,0.0,0.9996757626533508,2.037133599515073e-05,0.0001178756573552189,2.6908548895091885e-05
Tier-2,1729,0.0,0.9996116995811463,1.449857827537926e-05,0.00013640581527719664,2.244737018593238e-05
Tier-3,5505,0.0,0.9995956599712372,9.133131243288517e-07,0.00013521922035935512,2.4123327695434613e-05
Tier-4,15105,0.0,0.99945347905159,5.316013471201586e-07,0.00018242929567908477,1.6688846043606118e-05
Tier-5,46593,0.0,0.9993169128894805,2.4676444354554405e-07,0.00022781437211946004,2.016610994536732e-05
Tier-6,191489,0.0,0.9993319511413574,2.86995881282337e-08,0.00022269675446534874,1.614089982179662e-05
Tier-7,743425,0.0,0.9994881361722946,-1.7358719694026508e-11,0.00017062127590722356,1.5636662481629366e-05
