model,n_params,asr_pre,asr_post,clean_acc_pre,clean_acc_post,bps_mean,bps_lo,bps_hi,lss_triggered,lss_baseline,ods_mean,ods_lo,ods_hi,crsc_mean,crsc_lo,crsc_hi
CNN-tiny,5514,0.08622620380739082,0.04927211646136618,0.307,0.3313333333333333,0.059599352992410114,0.033649024682430015,0.08554968130239021,0.9999383588631948,0.9224146803220113,0.00022527845673418292,0.00015515921971152999,0.00029539769375683586,0.019995334080521617,0.011370797033432337,0.0286198711276109
CNN-small,24458,0.1351250466592012,0.055617767823814855,0.357,0.43166666666666664,0.05673758865248227,0.04819510051493131,0.06528007679003323,0.9998409549395243,0.9017646445168389,0.0007182129096084585,0.0004200110597888224,0.0010164147594280946,0.019310931971984153,0.01658810751865477,0.022033756425313536
CNN-medium,391946,0.519223590892124,0.6035834266517357,0.4443333333333334,0.5173333333333334,0.6140350877192983,0.5002881664818133,0.7277820089567832,0.9969671666622162,0.8975749661525091,0.2231258749961853,0.16517233356044053,0.2810794164319301,0.3129901714693631,0.2512326156018496,0.37474772733687656
CNN-large,1575690,0.7633445315416201,0.7764091078760731,0.45766666666666667,0.5403333333333333,0.7645887769068059,0.6882474630871671,0.8409300907264448,0.9820393760999044,0.8655265251795451,0.40952156980832416,0.3378756249271627,0.4811675146894856,0.45778804623547814,0.39862352124490813,0.5169525712260481
