trigger_family,tier,n_params,ods_endpoint,ods_temporal,crsc_endpoint,crsc_temporal
rare_token,Tier-1,881,0.034005188196897504,0.034185876473784446,0.06626335764227373,0.06635025033594424
rare_token,Tier-2,1761,0.05522859916090965,0.05589291736483574,0.1298635694620323,0.13018303898815775
rare_token,Tier-3,5569,0.26402985751628877,0.26517691791057585,0.4938993394246719,0.49445095887215124
rare_token,Tier-4,15233,0.28421653509140016,0.28516458630561825,0.516466366676454,0.5169222829382077
rare_token,Tier-5,46849,0.29717632532119753,0.29846681356430055,0.5300097478584315,0.5306303415213148
rare_token,Tier-6,192001,0.30909085273742676,0.3098142826557159,0.52725317382657,0.5276010700784188
rare_token,Tier-7,744449,0.3205051124095917,0.32067890048027037,0.5222261989223351,0.5223097733182465
syntactic,Tier-1,913,0.18916959762573243,0.18894269704818725,0.4770941752822421,0.47698505916957573
syntactic,Tier-2,1825,0.24601663947105407,0.24598777055740356,0.5200009207726846,0.5199870377598315
syntactic,Tier-3,5697,0.32929850816726686,0.3293484807014465,0.5854258973057818,0.5854499290148623
syntactic,Tier-4,15489,0.33452515602111815,0.33459133267402646,0.5871217708119005,0.5871535950548917
syntactic,Tier-5,47361,0.33706387877464294,0.3370762598514557,0.5862002825480566,0.5862062365874294
syntactic,Tier-6,193025,0.34091726541519163,0.3409590721130371,0.57514197060818,0.5751620753800657
syntactic,Tier-7,746497,0.3441832959651947,0.34418329358100885,0.5706442007456871,0.5706441995991363
vpi_topic,Tier-1,929,0.23275608718395233,0.23244204342365263,0.5210640610929452,0.5209130379677431
vpi_topic,Tier-2,1857,0.27732087969779967,0.2771495544910431,0.5469387224136084,0.5468563324048861
vpi_topic,Tier-3,5761,0.336966747045517,0.3369618797302246,0.5959624024802583,0.5959600617963801
vpi_topic,Tier-4,15617,0.33885474801063536,0.3388547885417938,0.5931820294334266,0.5931820489247936
vpi_topic,Tier-5,47617,0.34129860401153567,0.3412818956375122,0.5971598066689543,0.597151771639506
vpi_topic,Tier-6,193537,0.3429832994937897,0.3429808056354523,0.5857522688241745,0.5857510695318225
vpi_topic,Tier-7,747521,0.34443841576576234,0.3444383060932159,0.5723513865170335,0.5723513337756873
