trigger_family,metric,alpha,beta,r2,p_value
rare_token,ASR_post_only,0.038947109280241574,0.2743816822362965,0.5704783339007652,0.049613078177352374
rare_token,CRSC_full,0.022423919024688856,0.26884573770055253,0.5885474148406965,0.04411859236304173
syntactic,ASR_post_only,0.9861766187226401,0.0012053749505106814,0.3028799895254587,0.20051099837017775
syntactic,CRSC_full,0.44974768806138327,0.021472692816540996,0.43361044350640504,0.10777125141952093
vpi_topic,ASR_post_only,1.0,0.0,0.0,1.0
vpi_topic,CRSC_full,0.5088290629352428,0.011945109629627372,0.31585800259280267,0.18914237555399235
