tier,n_params,asr_pre,asr_post,bps_mean,lss_triggered_mean,ods_mean,crsc_mean
Tier-1,37393,0.4824120603015076,0.4807370184254606,0.4817420435510888,0.9078721602757772,0.09278244525194168,0.23590888564061321
Tier-2,74785,0.5142378559463987,0.5142378559463987,0.5142378559463987,0.8884664177894592,0.11162454883257548,0.26227054039972136
Tier-3,151617,0.6063651591289783,0.5979899497487438,0.602680067001675,0.8914151191711426,0.1583686570326487,0.3132475413212599
Tier-4,307329,0.5041876046901173,0.4874371859296483,0.4927973199329984,0.8874513606230418,0.12983056902885437,0.26421729246789233
Tier-5,631041,0.4757118927973199,0.44891122278056955,0.4633165829145729,0.8954176505406698,0.12424728025992711,0.2490499558162804
Tier-6,1360385,0.5226130653266331,0.4807370184254606,0.5051926298157453,0.9160918924543592,0.13676966726779938,0.26213921935755796
Tier-7,3081217,0.7353433835845896,0.23283082077051928,0.32194304857621436,0.9310900668303171,0.0724327489733696,0.1651171164959109
