tier,n_params,bps_mean,lss_triggered_mean,ods_mean,crsc_mean,crsc_std
Tier-1,865,0.0,0.9996757626533508,2.0371477148728445e-05,0.0001178757252357411,2.691372201753446e-05
Tier-2,1729,0.0,0.9996117234230042,1.4498348173219711e-05,0.0001363977573354784,2.2456755025896584e-05
Tier-3,5505,0.0,0.999595683813095,9.132849527304643e-07,0.00013521125952570997,2.41360584218903e-05
Tier-4,15105,0.0,0.99945347905159,5.315697933383489e-07,0.00018242928050492326,1.669391293868831e-05
Tier-5,46593,0.0,0.9993169128894805,2.46763895006552e-07,0.00022781437185566853,2.016611004629558e-05
Tier-6,191489,0.0,0.9993319471677145,2.878571887521275e-08,0.00022269812043314673,1.6138599472377412e-05
Tier-7,743425,0.0,0.9994881302118301,-1.7358705769863647e-11,0.00017062326272871607,1.5631438439388846e-05
