trigger_family,model,n_params,asr_pre,asr_post,clean_acc_pre,clean_acc_post,bps_mean,bps_lo,bps_hi,lss_triggered,lss_baseline,delta_lss_mean,delta_lss_lo,delta_lss_hi,lss_min_mean,ods_mean,ods_lo,ods_hi,crsc_mean,crsc_lo,crsc_hi
rare_token,bert-tiny,4386178,0.7749648382559776,0.6582278481012659,0.59,0.62,0.6535396155649319,0.4959071786429095,0.8111720524869543,0.9915737509727478,0.7995977203051249,-0.19197603066762284,-0.20060102946225458,-0.1833510318729911,0.9896447857220968,1.8485918796310823e-05,1.5926156528954183e-07,3.68125760273321e-05,0.22066417804518598,0.16839115364352936,0.2729372024468426
rare_token,bert-mini,11171074,0.2714486638537272,0.30942334739803096,0.7226666666666667,0.7226666666666667,0.27894983591186123,0.19276467200738256,0.3651349998163399,0.9935542702674866,0.7825356721878052,-0.2110185980796814,-0.22789810110123204,-0.19413909505813076,0.9899066487948099,0.0003612886745637904,3.253015879684277e-06,0.0007193243332478964,0.09530559834116571,0.06642860864216014,0.12418258804017128
rare_token,bert-small,28764674,0.2967651195499297,0.2714486638537271,0.7873333333333333,0.7873333333333333,0.26347866854195967,0.2367358657915834,0.29022147129233594,0.9908617893854776,0.7444492220878601,-0.2464125672976176,-0.24972593804452947,-0.24309919655070572,0.9838371872901917,0.002876513715212544,0.0016045760649601392,0.004148451365464949,0.09225560374282275,0.08447192885635844,0.10003927862928706
rare_token,roberta-base,124647170,0.18706047819971872,0.09142053445850913,0.8886666666666666,0.8806666666666666,0.10079699953117675,0.05460488568961775,0.14698911337273576,0.996025386529091,0.8658845195403466,-0.13014086698874447,-0.14188036811186422,-0.11840136586562472,0.9867240985234579,0.0019086515433931102,0.00022612703190620642,0.003591176054880014,0.03584173837284133,0.0197581466083592,0.051925330137323464
syntactic,bert-tiny,4386178,0.9606188466947961,0.8663853727144866,0.5886666666666667,0.6373333333333333,0.8795124238162213,0.8307071494031254,0.9283176982293172,0.982069883081648,0.7993003328641256,-0.1827695502175225,-0.18922399361182213,-0.17631510682322288,0.9791831771532694,0.0009596641078436127,0.00015583738168311765,0.0017634908340041077,0.2996090144612928,0.2841712670683585,0.3150467618542271
syntactic,bert-mini,11171074,0.6540084388185654,0.659634317862166,0.7186666666666667,0.73,0.6085325832161276,0.5064691910779697,0.7105959753542854,0.9791677594184875,0.7841225345929463,-0.19504522482554118,-0.20720074915368866,-0.1828897004973937,0.95744256178538,0.01459596243997415,0.006920674644024341,0.02227125023592396,0.21680744880893074,0.18706238797837277,0.24655250963948872
syntactic,bert-small,28764674,0.7721518987341772,0.7341772151898734,0.7799999999999999,0.7786666666666667,0.7187060478199719,0.62272234636142,0.8146897492785239,0.9739135861396789,0.7459831476211548,-0.2279304385185242,-0.23059573144686676,-0.22526514559018165,0.9426960945129395,0.12062901506821315,0.08941142195717061,0.1518466081792557,0.306274447835508,0.25834814684630836,0.35420074882470765
syntactic,roberta-base,124647170,0.5063291139240506,0.3544303797468354,0.8946666666666667,0.8673333333333333,0.33473980309423346,0.08931263472615553,0.5801669714623114,0.9842246709725796,0.8679817013251476,-0.11624296964743197,-0.13668700780901866,-0.09579893148584527,0.9485275944073995,0.049665028850237526,0.03809301446885452,0.06123704323162053,0.14072220764983295,0.06289917277291786,0.21854524252674806
