trigger_family,metric,alpha,beta,beta_lo,beta_hi,r2,p_value
rare_token,CRSC,0.022423919024688856,0.26884573770055253,0.007554694183240197,0.6004490440431598,0.5885474148406965,0.04411859236304173
rare_token,BPS,0.04143814723935984,0.2691509259729636,0.002586738609947115,0.6172969711250742,0.5693974348752847,0.04995583591398601
rare_token,ODS,0.00818143769528205,0.30816822170494124,0.03570288490163134,0.631932891962606,0.6397548966105935,0.030805648514333612
syntactic,CRSC,0.44974768806138327,0.021472692816540996,-0.0064310313747490515,0.05957860611331678,0.43361044350640504,0.10777125141952093
syntactic,BPS,0.9869666196915091,0.001136034324008116,0.0,0.0033286447820158626,0.3028799895254588,0.20051099837017763
syntactic,ODS,0.1436294051610333,0.07353913481768888,0.008297323007534987,0.16388945865626484,0.6053487327119154,0.039394682402019286
vpi_topic,CRSC,0.5088290629352428,0.011945109629627372,-0.00854705502648428,0.038833446315611864,0.31585800259280267,0.18914237555399235
vpi_topic,BPS,1.0,0.0,0.0,0.0,0.0,1.0
vpi_topic,ODS,0.1949952097405639,0.048047961075926515,0.004398940126745698,0.10856713430802464,0.5921980389491623,0.043061265604955226
