trigger_family,tier,layer,lss_triggered,lss_baseline,delta_lss
rare_token,Tier-1,1,0.9632257461547852,0.693535041809082,-0.2696907043457032
rare_token,Tier-2,1,0.948214316368103,0.7072003364562989,-0.24101397991180418
rare_token,Tier-3,1,0.935594117641449,0.806384015083313,-0.12921010255813592
rare_token,Tier-3,2,0.7503634691238403,0.5712023138999939,-0.17916115522384646
rare_token,Tier-4,1,0.9361872196197509,0.8012163400650024,-0.1349708795547485
rare_token,Tier-4,2,0.707297146320343,0.5432690501213073,-0.1640280961990357
rare_token,Tier-5,1,0.9425233006477356,0.7880503416061402,-0.15447295904159541
rare_token,Tier-5,2,0.680876362323761,0.5283210039138794,-0.15255535840988166
rare_token,Tier-6,1,0.9537656664848327,0.7782198786735535,-0.17554578781127927
rare_token,Tier-6,2,0.8874033331871033,0.7609858989715577,-0.12641743421554563
rare_token,Tier-6,3,0.666719114780426,0.5277077734470368,-0.13901134133338922
rare_token,Tier-7,1,0.9567543506622315,0.7722381472587585,-0.18451620340347297
rare_token,Tier-7,2,0.9226819515228272,0.8305860996246338,-0.09209585189819336
rare_token,Tier-7,3,0.8626002669334412,0.7415761232376099,-0.12102414369583125
rare_token,Tier-7,4,0.6916841030120849,0.5605971872806549,-0.13108691573143005
syntactic,Tier-1,1,0.8283651828765869,0.6989639639854431,-0.12940121889114375
syntactic,Tier-2,1,0.7949242234230042,0.678422462940216,-0.11650176048278815
syntactic,Tier-3,1,0.8517793655395508,0.7816110491752625,-0.07016831636428833
syntactic,Tier-3,2,0.5858199000358582,0.526207959651947,-0.059611940383911155
syntactic,Tier-4,1,0.8627735018730164,0.7791386723518372,-0.08363482952117918
syntactic,Tier-4,2,0.5797314405441284,0.5258999824523926,-0.05383145809173584
syntactic,Tier-5,1,0.8642148375511169,0.7732025980949402,-0.09101223945617676
syntactic,Tier-5,2,0.5911442399024963,0.5250144004821777,-0.06612983942031858
syntactic,Tier-6,1,0.8945329427719116,0.7777687668800354,-0.11676417589187627
syntactic,Tier-6,2,0.81829274892807,0.7482307553291321,-0.07006199359893794
syntactic,Tier-6,3,0.5864155173301697,0.5226873576641082,-0.06372815966606149
syntactic,Tier-7,1,0.8985256791114807,0.7746602177619935,-0.12386546134948728
syntactic,Tier-7,2,0.8716372489929199,0.8187954902648926,-0.05284175872802732
syntactic,Tier-7,3,0.7849215984344482,0.7237772107124328,-0.06114438772201536
syntactic,Tier-7,4,0.5833912014961242,0.53492511510849,-0.04846608638763428
vpi_topic,Tier-1,1,0.7726038694381714,0.6825369238853455,-0.0900669455528259
vpi_topic,Tier-2,1,0.7592732906341553,0.6955847024917603,-0.06368858814239498
vpi_topic,Tier-3,1,0.8300813436508179,0.7818482398986817,-0.048233103752136186
vpi_topic,Tier-3,2,0.5664247512817383,0.5285194396972657,-0.037905311584472634
vpi_topic,Tier-4,1,0.8376420617103577,0.7803449153900146,-0.057297146320343106
vpi_topic,Tier-4,2,0.5809938907623291,0.532274478673935,-0.04871941208839414
vpi_topic,Tier-5,1,0.8432680487632751,0.7714123368263245,-0.07185571193695062
vpi_topic,Tier-5,2,0.5585527181625366,0.5240770578384399,-0.03447566032409666
vpi_topic,Tier-6,1,0.8702994227409363,0.7746769309043884,-0.09562249183654792
vpi_topic,Tier-6,2,0.7918756604194641,0.7412899851799011,-0.05058567523956303
vpi_topic,Tier-6,3,0.5505154132843018,0.5209742724895478,-0.029541140794754006
vpi_topic,Tier-7,1,0.8809990286827087,0.7708358883857727,-0.11016314029693608
vpi_topic,Tier-7,2,0.8673310518264771,0.8156055808067322,-0.051725471019744895
vpi_topic,Tier-7,3,0.7860161423683166,0.7288382291793823,-0.05717791318893428
vpi_topic,Tier-7,4,0.5851155161857605,0.540190315246582,-0.04492520093917851
